Title,Year,Rated,Day_Released,Month_Released,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Poster,RottenTomatoes,Metascore,imdbRating,imdbVotes,imdbID,Production,
A Trip to the Moon,1902,TV-G,4,Oct,13,"Short,Adventure,Comedy,Fantasy,Sci-Fi",Georges Méliès,"Victor André, Bleuette Bernon, Brunnet, Jehanne d'Alcy",A group of astronomers go on an expedition to the Moon.,"None,French",France,1 win.,https://m.media-amazon.com/images/M/MV5BMzcyYzhlMzctYjg1NS00ODJlLTkxOTUtYmQ4YjgxMWY5MGFlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,8.2,43420,tt0000417,N/A,
The Great Train Robbery,1903,TV-G,7,Dec,11,"Short,Action,Crime,Western",Edwin S. Porter,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes","A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.","None,English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTU3NjE5NzYtYTYyNS00MDVmLWIwYjgtMmYwYWIxZDYyNzU2XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,N/A,N/A,7.3,16886,tt0000439,N/A,
The Birth of a Nation,1915,TV-PG,21,Mar,195,"Drama,History,War",D.W. Griffith,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",None,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0.93,N/A,6.3,22470,tt0004972,"David W. Griffith Corp., Epoch Producing Corporation",
Les vampires,1915,Not Rated,23,Nov,421,"Action,Adventure,Crime,Drama,Mystery,Thriller",Louis Feuillade,"Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,French,France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc1NTY3NDIzNl5BMl5BanBnXkFtZTgwNTIyODg5MTE@._V1_SX300.jpg,0.96,N/A,7.3,4124,tt0006206,N/A,
Intolerance: Love's Struggle Throughout the Ages,1916,Passed,1,Oct,197,"Drama,History",D.W. Griffith,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","None,English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZTc0YjA1ZjctOTFlZi00NWRiLWE2MTAtZDE1MWY1YTgzOTJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.97,99,7.7,13988,tt0006864,Triangle Film Corporation,
Broken Blossoms,1919,Not Rated,20,Oct,90,"Drama,Romance",D.W. Griffith,"Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",N/A,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNTY0ODRmZDktMzM2MC00NThmLWEyMDMtODQzNWEyMjMxYTYzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.95,N/A,7.3,9229,tt0009968,D.W. Griffith Productions,
The Cabinet of Dr. Caligari,1920,Not Rated,27,Feb,67,"Fantasy,Horror,Mystery,Thriller",Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","None,German",Germany,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,0.98,N/A,8.1,56552,tt0010323,Decla-Bioscop AG,
Within Our Gates,1920,Not Rated,12,Jan,79,"Drama,Romance",Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault","Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",N/A,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGZhYjk2ZjAtYzU5Ny00YWM0LWEyMWEtNmIwMTE4Yjk0NzkxXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,1,N/A,6.3,2215,tt0011870,Micheaux Book &amp,
Orphans of the Storm,1921,Not Rated,N/A,,150,"Drama,History,Romance",D.W. Griffith,"Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODRjNjU4ZjQtZDUyZi00MDY4LWI5MTAtYTMyNTAxYWNjZjA3XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,0.92,N/A,7.4,4595,tt0012532,D.W. Griffith Productions,
The Phantom Carriage,1921,Not Rated,4,Jun,107,"Drama,Fantasy,Horror",Victor Sjöström,"Victor Sjöström, Hilda Borgström, Tore Svennberg, Astrid Holm","On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.","None,Swedish",Sweden,N/A,https://m.media-amazon.com/images/M/MV5BZmIwODBjOTYtMDhmNi00NmEyLTllYWMtNmQ2N2Q2NmRmOGNkXkEyXkFqcGdeQXVyOTUyODM3MDY@._V1_SX300.jpg,1,N/A,8.1,10112,tt0012364,Svensk Filmindustri,
Dr. Mabuse the Gambler,1922,Not Rated,30,Sep,242,"Crime,Mystery,Thriller",Fritz Lang,"Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,"None,German",Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjEwMzk5MTI1MV5BMl5BanBnXkFtZTgwNDY1MTA5MTE@._V1_SX300.jpg,0.94,N/A,7.9,7342,tt0013086,N/A,
Foolish Wives,1922,Not Rated,11,Jan,117,"Drama,Thriller",Erich von Stroheim,"Rudolph Christians, Miss DuPont, Maude George, Mae Busch",A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat.,"Latin,French,English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZjU3MzliZGMtNzNhMi00ZjIyLThhZDAtNmFmYTk0ZWRkZWU1XkEyXkFqcGdeQXVyMTA2ODMzMDU@._V1_SX300.jpg,0.92,N/A,7.1,2958,tt0013140,Universal Film Manufacturing Company,
Häxan,1922,Not Rated,27,May,91,"Documentary,Fantasy,History,Horror",Benjamin Christensen,"Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt","Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.","Swedish,Danish","Sweden,Denmark",N/A,https://m.media-amazon.com/images/M/MV5BNGJjOWY1NDUtZGEyZC00Y2VmLWIzZWUtZDRmODYwYmQzN2VmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,0.88,N/A,7.7,12157,tt0013257,"Svensk Filmindustri, Aljosha Production Company",
Nanook of the North,1922,Not Rated,11,Jun,78,Documentary,Robert J. Flaherty,"Allakariallak, Alice Nevalinga, Cunayou, Allegoo","In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",N/A,"USA,France",1 win.,https://m.media-amazon.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_SX300.jpg,1,N/A,7.6,10402,tt0013427,"Pathé Exchange Inc., Les Frères Revillon",
Nosferatu,1922,Not Rated,3,Jun,94,"Fantasy,Horror",F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"None,German",Germany,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.97,N/A,7.9,87917,tt0013442,Jofa-Atelier Berlin-Johannisthal,
The Smiling Madame Beudet,1923,N/A,9,Nov,26,"Short,Drama",Germaine Dulac,"Germaine Dermoz, Alexandre Arquillière, Jean d'Yd, Yvette Grisier",An unhappily married woman devises a scheme to get rid of her husband.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTlkZjU4MWItYjIwMy00ZTJjLThhN2YtNDAzZTU2NGQzYTUwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,N/A,N/A,6.7,1964,tt0013626,N/A,
Our Hospitality,1923,Passed,13,Dec,65,"Comedy,Romance,Thriller","John G. Blystone, Buster Keaton","Buster Keaton, Natalie Talmadge, Joe Roberts, Francis X. Bushman Jr.","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.","None,English",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTNjZjYxMDQtMTViNi00NTg0LWFmZTYtNTdiMzUxZWU3ZTU2XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,0.96,N/A,7.8,10060,tt0014341,Joseph M. Schenck Productions,
The Wheel,1923,Not Rated,17,Feb,418,Drama,Abel Gance,"Gabriel de Gravone, Pierre Magnier, Georges Térof, Séverin-Mars","A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.","None,French,English",France,N/A,https://m.media-amazon.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_SX300.jpg,0.8,N/A,7.4,1919,tt0014417,Films Abel Gance,
