Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
A Trip to the Moon,1902,TV-G,04 Oct 1902,13 min,"Short, Adventure, Comedy, Fantasy, Sci-Fi",Georges Méliès,N/A,"Victor André, Bleuette Bernon, Brunnet, Jehanne d'Alcy",A group of astronomers go on an expedition to the Moon.,"None, French",France,1 win.,https://m.media-amazon.com/images/M/MV5BMzcyYzhlMzctYjg1NS00ODJlLTkxOTUtYmQ4YjgxMWY5MGFlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"43,420",tt0000417,movie,N/A,N/A,N/A,N/A,True
The Great Train Robbery,1903,TV-G,07 Dec 1903,11 min,"Short, Action, Crime, Western",Edwin S. Porter,N/A,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes","A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTU3NjE5NzYtYTYyNS00MDVmLWIwYjgtMmYwYWIxZDYyNzU2XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"16,886",tt0000439,movie,N/A,N/A,N/A,N/A,True
The Birth of a Nation,1915,TV-PG,21 Mar 1915,195 min,"Drama, History, War",D.W. Griffith,"Thomas Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan""), Thomas Dixon Jr. (play), Thomas Dixon Jr. (novel), D.W. Griffith, Frank E. Woods","Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",None,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,6.3,"22,470",tt0004972,movie,N/A,N/A,"David W. Griffith Corp., Epoch Producing Corporation",N/A,True
Les vampires,1915,Not Rated,23 Nov 1916,421 min,"Action, Adventure, Crime, Drama, Mystery, Thriller",Louis Feuillade,Louis Feuillade,"Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,French,France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc1NTY3NDIzNl5BMl5BanBnXkFtZTgwNTIyODg5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.3,"4,124",tt0006206,movie,N/A,N/A,N/A,N/A,True
Intolerance: Love's Struggle Throughout the Ages,1916,Passed,01 Oct 1916,197 min,"Drama, History",D.W. Griffith,"D.W. Griffith (scenario), Anita Loos (titles)","Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZTc0YjA1ZjctOTFlZi00NWRiLWE2MTAtZDE1MWY1YTgzOTJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",99,7.7,"13,988",tt0006864,movie,N/A,N/A,Triangle Film Corporation,N/A,True
Broken Blossoms,1919,Not Rated,20 Oct 1919,90 min,"Drama, Romance",D.W. Griffith,"Thomas Burke (adapted from 'The Chink and the Child' by), D.W. Griffith","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",N/A,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNTY0ODRmZDktMzM2MC00NThmLWEyMDMtODQzNWEyMjMxYTYzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.3,"9,229",tt0009968,movie,N/A,N/A,D.W. Griffith Productions,N/A,True
The Cabinet of Dr. Caligari,1920,Not Rated,27 Feb 1920,67 min,"Fantasy, Horror, Mystery, Thriller",Robert Wiene,"Carl Mayer, Hans Janowitz","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","None, German",Germany,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,8.1,"56,552",tt0010323,movie,N/A,N/A,Decla-Bioscop AG,N/A,True
Within Our Gates,1920,Not Rated,12 Jan 1920,79 min,"Drama, Romance",Oscar Micheaux,Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault","Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",N/A,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGZhYjk2ZjAtYzU5Ny00YWM0LWEyMWEtNmIwMTE4Yjk0NzkxXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.3,"2,215",tt0011870,movie,N/A,N/A,Micheaux Book &amp; Film Company,N/A,True
Orphans of the Storm,1921,Not Rated,N/A,150 min,"Drama, History, Romance",D.W. Griffith,"Adolphe d'Ennery (novel), Eugène Cormon (novel), D.W. Griffith","Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODRjNjU4ZjQtZDUyZi00MDY4LWI5MTAtYTMyNTAxYWNjZjA3XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.4,"4,595",tt0012532,movie,N/A,N/A,D.W. Griffith Productions,N/A,True
The Phantom Carriage,1921,Not Rated,04 Jun 1922,107 min,"Drama, Fantasy, Horror",Victor Sjöström,"Selma Lagerlöf (novel), Victor Sjöström","Victor Sjöström, Hilda Borgström, Tore Svennberg, Astrid Holm","On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.","None, Swedish",Sweden,N/A,https://m.media-amazon.com/images/M/MV5BZmIwODBjOTYtMDhmNi00NmEyLTllYWMtNmQ2N2Q2NmRmOGNkXkEyXkFqcGdeQXVyOTUyODM3MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"10,112",tt0012364,movie,N/A,N/A,Svensk Filmindustri,N/A,True
